id,surname,forename,birthYear,deathYear,note,pageRefs,fullName
"ansorge_p_1","Adler","Guido","1855","1941","In Mähren geborener österr. Musikwissenschaftler. Er wurde 1885 Professor in Prag und hatte von 1898–1927 als Nachfolger Eduard Hanslicks den Lehrstuhl für Musikwissenschaft an der Universität Wien inne. Eng befreundet mit Gustav Mahler förderte er u. a. →Schönberg, →Webern und Wellesz, die Verfolgungen durch das NS-Regime begleiteten sein Lebensende, kurze Zeit später wurde seine Tochter Melanie, Verwalterin des Nachlasses, im Lager Maly Trostinez ermordet.","520","Guido Adler"
"ansorge_p_2","Adler","Oskar","1975","1955","Österr. Arzt, Geiger und Astrologe, der sich mit den vielfältigsten Formen der Kultur tätig auseinandersetzte. Er war ein enger Jugendfreund Arnold Schönbergs, der bis an sein Lebensende große Stücke auf ihn hielt.","436","Oskar Adler"
"ansorge_p_3","Afferni","Ugo","1871","1931","Ital. Pianist und Komponist, verh. mit der brit. Geigerin Ida Ma(r)y Brammer; war nach einer Anstellung in Lübeck seit 1905 Kapellmeister der Kurkapelle in Wiesbaden.","150","Ugo Afferni"
"ansorge_p_4","Akimoff","Gregor von","1880","1932","Österr. Geiger und Dirigent, unter dessen Leitung sich 1924 einige Musiker in Stuttgart zum „Philharmonischen Orchester“, den heutigen „Stuttgarter Philharmonikern“, zusammenfanden.","127","Gregor von Akimoff"
"ansorge_p_5","Albani","Emma DBE","1847","1930","Kanad. Sängerin (Sopran). Sie studierte in Paris bei Duprez und in Mailand bei Lamperti. 1871–1891 war A. am Royal Opera House in London engagiert. Ihre ausgedehnten Tournéen wurden von ihrem Ehemann Ernest Gye (1838–1925), dem Sohn des Opernmanagers Frederick Gye (1810–1878), organisiert.","12; 87; 88","Emma DBE Albani"
"ansorge_p_6","Albert","Eugen d’","1864","1932","Dt. Pianist und Komponist, als Schüler von Franz Liszt einer der beliebtesten Virtuosen zu Ansorges Zeit und immer wieder eine Vergleichsgröße zu ihm.","10; 16; 22; 25; 39; 42; 44; 60; 99; 116; 128; 131; 140; 147; 164; 423; 529; 563; 577; 580; 607; 617; 634; 643","Eugen d’ Albert"
"ansorge_p_7","Alberti","Konrad","1862","1918","Dt. Schriftsteller, war seit 1898 Chefredakteur der Berliner Morgenpost.","327","Konrad Alberti"
"ansorge_p_8","Alfvén","Hugo Emil","1872","1960","Schwed. Geiger, Komponist und Dirigent, der in vielen seiner Werke Elemente schwedischer Volksmusik verarbeitete. 1910–1939 war er Director musices an der Universität Uppsala.","","Hugo Emil Alfvén"
"ansorge_p_9","Aljabjev","Alexandr","1802","1851","Russ. Komponist und Kollege Michael Glinkas, ließ als einer der ersten volkstümliches Melodiengut in seine Kompositionen einfließen, die sich ansonsten weitgehend an Beethoven orientierten. Er geriet als junger Mann in Konflikt mit den Behörden und verbrachte viele Jahre in der Verbannung.","","Alexandr Aljabjev"
"ansorge_p_10","Altenberg","Peter","1859","1919","Als österr. Schrifsteller ein Meister der Kurzprosa und stets im Zentrum der literarischen Avantgarde, befreundet u. a. mit Karl Kraus, Adolf Loos und Egon Friedell.","337; 390; 400; 436; 477; 486; 493; 500","Peter Altenberg"
"ansorge_p_11","Alvary","Max","1851","1898","Dt. Tenor, der als ausgebildeter Architekt nach seiner Gesangsausbildung rasch zu einem der berühmtesten Sänger seiner Zeit sowohl in Europa wie auch an der Metropolitan Opera avancierte. Sein romantisches Leben wurde durch einen tragischen Bühnenunfall früh beendet, legendär waren seine Interpretationen des Siegfried und Tristan.","83; ","Max Alvary"
"ansorge_p_12","Amerling","Joseph d’","","","Teilnehmer im Ansorge-Verein, vermutlich ein Verwandter der Familie des Wiener Künstlers Friedrich von Amerling, der 1878 in den Adelsstand erhoben wurde und fortan Ritter von Amerling hieß.","337","Joseph d’ Amerling"
"ansorge_p_13","Anacker","Heinrich August","1860","","Dt. Organist und Kantor, möglicherweise ein Nachfahre des berühmteren August Ferdinand A. (1790–1854), ebenfalls Komponist und Kantor in Freiberg.","99","Heinrich August Anacker"
"ansorge_p_14","Andrade","Francisco d’","1859","1921","Portug. Sänger (Bariton), als Darsteller des Don Giovanni besonders gerühmt. Mehrfach wurde er von Max Slevogt porträtiert.","57; 61; 150","Francisco d’ Andrade"
"ansorge_p_15","Andreae","Volkmar","1879","1962","Schweiz. Komponist und Dirigent, als Schüler von →Franz Wüllner als Chorleiter und Orchesterdirigent tätig.","157; 161","Volkmar Andreae"
"ansorge_p_16","Ansorge","Arnulf","1894","1954","Dt. Philosoph und Sohn von Conrad und →Margarethe Ansorge. Er schloss sein erstes Studium nach dem Kriegsdienst 1920 mit einer Promotion in Philosophie ab (vgl. A. Ansorge. Über die metaphysischen Voraussetzungen des wissenschaftlichen Denkens, in: Jb. d. Phil. Fak. Köln 1920/21, S. 4–5) und fügte danach Studien in Germanistik an. Dem Kreis um George und Sombart angehörig, unterrichtete er als Privatlehrer und im höheren Schuldienst, verließ Deutschland aber bereits 1931 und lehrte als Austauschlehrer in Paris am Lycée Louis le Grand sowie an der Sorbonne im deutschen Kulturauftrag, bevor er an die brasilianische Universität von Belo Horizonte wechselte. Er war verh. mit der dt. Pianistin Maria Elisabeth (Lisa) Ansorge und hatte zwei Kinder, Marianne und Conrad.","14; 233","Arnulf Ansorge"
"ansorge_p_17","Ansorge","Dorothee","1892","1958","Tochter von Conrad und →Margarethe Ansorge, sie hatte zwei Söhne Balthasar und Melchior. Ihre Enkelin ist die Schauspielerin Vera Lippisch.","14; 233","Dorothee Ansorge"
"ansorge_p_18","Ansorge","Joachim","1893","1947","Dt. Pianist, Sohn von Conrad und →Margarethe Ansorge. Im I. Weltkrieg schwer versehrt, wurde er Lehrer am Institut für Schul-und Kirchenmusik in Königsberg, später an der Akademie der Künste in Berlin.","14; 65; 199; 217; 229; ; 264","Joachim Ansorge"
"ansorge_p_19","Ansorge","Margarethe","1872","1944","Dt. Pianistin, zunächst die Schülerin und ab dem 14.07.1891 Ehefrau von Conrad Ansorge mit eigener vorzüglicher Klaviertechnik (Vgl. Heinz Tiessen. Eduard Erdmann in seiner Zeit, in: Begegnungen mit Eduard Erdmann, hg. von Christof Bitter und Manfred Schlösser. Darmstadt: Agora 31998 S. 25). Margarethe und Conrad Ansorge hatten vier Kinder: Dorothea (1892–1958), Joachim (1893–1947), Arnulf (1894–1954) und Ulrike (1895–?).","; 19; 26; 28; 46; ; 59; 65; ; 144; ; ; 170; 172; ; 178; 184; 193; 199; 201; 208; ; 213; ; 226; ; 233; 235; 238; ; 246; 251; ; ; ; ; ; 292; ; 301; 303; 307; 316; 322; 324; 327; 329; 345; 347; ; ; 361; ; 448; 455; 370; 375; 503; 512; 522; 525; ; 630; 639; 643; 649; 651; ; 685; 687","Margarethe Ansorge"
"ansorge_p_20","Ansorge","Ulrike","1895","","Tochter von Conrad und →Margarethe Ansorge. Am Tag ihrer Geburt lernten An-sorge und →Dehmel sich kennen, wie der Komponist am 15.11.1916 schreibt.","14; 233; 370","Ulrike Ansorge"
